"","Date","State","Code","CaseFrac","VaccFrac","ImmuLevel","ABias","VaccType"
"1",2021-04-19,"United States","US",0.281581218968564,0.327551743365164,0.516900543161687,3,"At Least One Dose"
"2",2021-04-18,"United States","US",0.280878789846401,0.323589685450524,0.513578996040804,3,"At Least One Dose"
"3",2021-04-17,"United States","US",0.280541517847624,0.317492168668549,0.508963951613164,3,"At Least One Dose"
"4",2021-04-16,"United States","US",0.279956716242242,0.31015388113393,0.503280935284131,3,"At Least One Dose"
"5",2021-04-15,"United States","US",0.279328025954998,0.303331268855152,0.497930370270416,3,"At Least One Dose"
"6",2021-04-14,"United States","US",0.278621749032946,0.297323396975568,0.493104381114764,3,"At Least One Dose"
"7",2021-04-13,"United States","US",0.277999630166414,0.29260353878835,0.489259493386218,3,"At Least One Dose"
"8",2021-04-12,"United States","US",0.2774298815929,0.289470814274855,0.486592842138882,3,"At Least One Dose"
"9",2021-04-11,"United States","US",0.27678150446252,0.285252556256,0.483081429046205,3,"At Least One Dose"
"10",2021-04-10,"United States","US",0.276374030680029,0.279392707379726,0.478549849378614,3,"At Least One Dose"
"11",2021-04-09,"United States","US",0.275818832456687,0.272847170205033,0.473409614736657,3,"At Least One Dose"
"12",2021-04-08,"United States","US",0.275136538021352,0.266097212187333,0.468020684470329,3,"At Least One Dose"
"13",2021-04-07,"United States","US",0.274503049408831,0.260395717184856,0.463419348173444,3,"At Least One Dose"
"14",2021-04-06,"United States","US",0.273772771720729,0.25569893056419,0.459468297338335,3,"At Least One Dose"
"15",2021-04-05,"United States","US",0.273252898311091,0.252170778349565,0.456517280607274,3,"At Least One Dose"
"16",2021-04-04,"United States","US",0.272752748303257,0.248037677656508,0.453137467696195,3,"At Least One Dose"
"17",2021-04-03,"United States","US",0.272439550187867,0.241796674192705,0.448361247226589,3,"At Least One Dose"
"18",2021-04-02,"United States","US",0.271941566281157,0.235285684960004,0.443243293549603,3,"At Least One Dose"
"19",2021-04-01,"United States","US",0.271386358918149,0.230001906260387,0.438968885294296,3,"At Least One Dose"
"20",2021-03-31,"United States","US",0.270832476806883,0.224439626668602,0.434486563491216,3,"At Least One Dose"
"21",2021-03-30,"United States","US",0.270293803101828,0.219765174348002,0.430657812685972,3,"At Least One Dose"
"22",2021-03-29,"United States","US",0.269794859530063,0.216471326641551,0.427863335008071,3,"At Least One Dose"
"23",2021-03-28,"United States","US",0.269272865717636,0.212601484922338,0.424626539539112,3,"At Least One Dose"
"24",2021-03-27,"United States","US",0.268924882028908,0.209858978499673,0.422347559492849,3,"At Least One Dose"
"25",2021-03-26,"United States","US",0.268471051854411,0.200966978007703,0.415484213888384,3,"At Least One Dose"
"26",2021-03-25,"United States","US",0.267882694918491,0.195197925631887,0.410790474189609,3,"At Least One Dose"
"27",2021-03-24,"United States","US",0.267311931841919,0.19026090895215,0.40671382966807,3,"At Least One Dose"
"28",2021-03-23,"United States","US",0.26677828495382,0.186109602042043,0.403237886549649,3,"At Least One Dose"
"29",2021-03-22,"United States","US",0.266266618965322,0.182809280404664,0.400399890361152,3,"At Least One Dose"
"30",2021-03-21,"United States","US",0.265365639713046,0.179362038617147,0.397131156212318,3,"At Least One Dose"
"31",2021-03-20,"United States","US",0.264998654656222,0.174746930155635,0.393437883415309,3,"At Least One Dose"
"32",2021-03-19,"United States","US",0.264481312934396,0.169229154649972,0.388952518575766,3,"At Least One Dose"
"33",2021-03-18,"United States","US",0.263880480352758,0.164622680127402,0.385062448571182,3,"At Least One Dose"
"34",2021-03-17,"United States","US",0.263264832370598,0.161027467128022,0.381899430358099,3,"At Least One Dose"
"35",2021-03-16,"United States","US",0.262655088613445,0.157675853678352,0.378916576971709,3,"At Least One Dose"
"36",2021-03-15,"United States","US",0.262126898106661,0.154560902770993,0.376173230865728,3,"At Least One Dose"
"37",2021-03-14,"United States","US",0.261608989725469,0.151633720233014,0.37357396560001,3,"At Least One Dose"
"38",2021-03-13,"United States","US",0.261143552173636,0.147561559794248,0.370170362078932,3,"At Least One Dose"
"39",2021-03-12,"United States","US",0.260570485900932,0.143749291885243,0.366862954951722,3,"At Least One Dose"
"40",2021-03-11,"United States","US",0.259855105870356,0.140368203008874,0.363747914625527,3,"At Least One Dose"
"41",2021-03-10,"United States","US",0.259144012343693,0.137817477269488,0.36124691558248,3,"At Least One Dose"
"42",2021-03-09,"United States","US",0.258466534512969,0.135708730602804,0.359099099813712,3,"At Least One Dose"
"43",2021-03-08,"United States","US",0.257810297268803,0.134469236357012,0.357611979827105,3,"At Least One Dose"
"44",2021-03-07,"United States","US",0.257266889216141,0.132915413723654,0.355987567922235,3,"At Least One Dose"
"45",2021-03-06,"United States","US",0.256762407006057,0.130421816997339,0.353696804345056,3,"At Least One Dose"
"46",2021-03-05,"United States","US",0.256124970057308,0.127886491597174,0.351256537823422,3,"At Least One Dose"
"47",2021-03-04,"United States","US",0.25541181096586,0.124972911930536,0.34846516513854,3,"At Least One Dose"
"48",2021-03-03,"United States","US",0.254754906525988,0.122678733602717,0.346180630817019,3,"At Least One Dose"
"49",2021-03-02,"United States","US",0.254113512101344,0.12085854450867,0.344260267397459,3,"At Least One Dose"
"50",2021-03-01,"United States","US",0.25352490839441,NA,NA,3,"At Least One Dose"
"51",2021-02-28,"United States","US",0.253018872440903,0.116659534628924,0.340161343158537,3,"At Least One Dose"
