state,population,Code
United States,328239523,US
American Samoa,55197,AS
Alabama,4903185,AL
Alaska,731545,AA
Arizona,7278717,AR
Arkansas,3017804,AK
California,39512223,CA
Colorado,5758736,CO
Connecticut,3565287,CT
Delaware,973764,DE
District of Columbia,705749,DC
Florida,21477737,FL
Georgia,10617423,GA
Guam,168783,GU
Hawaii,1415872,HI
Idaho,1787065,ID
Illinois,12671821,IL
Indiana,6732219,IN
Iowa,3155070,IA
Kansas,2913314,KS
Kentucky,4467673,KY
Louisiana,4648794,LA
Maine,1344212,ME
Maryland,6045680,MD
Massachusetts,6892503,MA
Michigan,9986857,MI
Minnesota,5639632,MN
Mississippi,2976149,MS
Missouri,6137428,MO
Montana,1068778,MT
Nebraska,1934408,NE
Nevada,3080156,NV
New Hampshire,1359711,NH
New Jersey,8882190,NJ
New Mexico,2096829,NM
New York,19453561,NY
North Carolina,10488084,NC
North Dakota,762062,ND
Northern Mariana Islands,57557,MP
Ohio,11689100,OH
Oklahoma,3956971,OK
Oregon,4217737,OR
Pennsylvania,12801989,PA
Puerto Rico,3193694,PR
Rhode Island,1059361,RI
South Carolina,5148714,SC
South Dakota,884659,SD
Tennessee,6829174,TN
Texas,28995881,TX
Utah,3205958,UT
Vermont,623989,VT
Virgin Islands,104423,VI
Virginia,8535519,VA
Washington,7614893,WA
West Virginia,1792147,WV
Wisconsin,5822434,WI
Wyoming,578759,WY
